Nimi;P;I
Espoon portti (eco-counter);6677005;25481128
Espoonlahdenraitti (Eco-counter);6670508;25481015
Gallen-Kallela (Eco-counter);6676933;25491239
Gallen-Kallelan tie;6676982;25491205
Haukilahti;6671287;25487507
Kalevalantien alikulku;6674496;25488788
Kehä I, Laajalahti;6675867;25489239
Kehä I, Laajalahti (Eco-counter);6675822;25489228
Keilaniemi, Keilaterassi;6673117;25490525
Keskuspuisto, etelähaara;6674356;25483281
Keskuspuisto, etelähaara, itä;6674246;25483392
Keskuspuisto, etelähaara, länsi;6674139;25483318
Keskuspuisto, Grimängen;6675139;25482600
Keskuspuisto, Mössenkär;6675346;25482598
Kiltapolku;6676648;25481080
Kiltaraitti, etelä;6676640;25481048
Kiltaraitti, pohjoinen;6676731;25481014
Kirkkojärventie;6677166;25481274
Kivenlahden uimaranta;6670997;25479610
Kivenlahti;6671256;25479244
Länsiväylä (Eco-counter);6676933;25491239
Länsiväylä, Karhusaari;6672835;25490802
Martinsillantie;6671916;25482907
Merituulentie;6673128;25486530
Olarinkatu (Eco-counter) ;6673083;25485174
Otaniemi;6674433;25490910
Pitkäjärventie;6682359;25487568
Pohjantien ylikulku;6673592;25488943
Päivänkestämönpolku, Kera (eco-counter);6678235;25486566
Rantaradanraitti, Helsingin raja;6679003;25491669
Soukka;6668766;25481315
Suomenlahdentie (Eco-counter);6671530;25484766
Suomenlahdentie (pohjoinen & eteläinen);6671545;25484748
Tapiola, Länsituulenkuja (eco-counter);6673578;25488895
Turuntie, Rantaradanreitti (eco-counter);6678976;25491608
Vihdintie, Kalajärven itäpuoli;6688155;25485793
Vihdintie, Uusmäki;6682147;25490666
Ylismäentie, Suurpelto (eco-counter);6674318;25485946
