Päivämäärä;Asolanväylä P;Asolanväylä E;Hakunilantie P;Hakunilantie E;Kyytitie I;Kyytitie L;Kaislaranta P;Kaislaranta E;Kuusijärvi P;Kuusijärvi E;Kytöpuisto P;Kytöpuisto E;Pellas I;Pellas L;Simonkyläntie P;Simonkyläntie E;Solkikuja I;Solkikuja L;Vanha Porvoontie P;Vanha Porvoontie E;Vantaanlaaksontie P;Vantaanlaaksontie E;Ylästöntie I;Ylästöntie L
torstai 1.1.2015 0:00;;;;;;;0;0;;;3;0;;;;;;;;;;;;
torstai 1.1.2015 1:00;;;;;;;2;0;;;0;0;;;;;;;;;;;;
torstai 1.1.2015 2:00;;;;;;;0;0;;;1;0;;;;;;;;;;;;
torstai 1.1.2015 3:00;;;;;;;1;1;;;0;0;;;;;;;;;;;;
torstai 1.1.2015 4:00;;;;;;;0;0;;;0;0;;;;;;;;;;;;
torstai 1.1.2015 5:00;;;;;;;0;0;;;1;0;;;;;;;;;;;;
torstai 1.1.2015 6:00;;;;;;;0;0;;;0;0;;;;;;;;;;;;
torstai 1.1.2015 7:00;;;;;;;0;0;;;0;0;;;;;;;;;;;;
torstai 1.1.2015 8:00;;;;;;;0;0;;;0;0;;;;;;;;;;;;
torstai 1.1.2015 9:00;;;;;;;0;0;;;0;0;;;;;;;;;;;;
torstai 1.1.2015 10:00;;;;;;;0;1;;;3;0;;;;;;;;;;;;
torstai 1.1.2015 11:00;;;;;;;0;1;;;3;0;;;;;;;;;;;;
torstai 1.1.2015 12:00;;;;;;;5;5;;;3;0;;;;;;;;;;;;
torstai 1.1.2015 13:00;;;;;;;0;0;;;5;0;;;;;;;;;;;;
torstai 1.1.2015 14:00;;;;;;;4;2;;;7;0;;;;;;;;;;;;
torstai 1.1.2015 15:00;;;;;;;2;4;;;1;0;;;;;;;;;;;;
torstai 1.1.2015 16:00;;;;;;;3;1;;;4;0;;;;;;;;;;;;
torstai 1.1.2015 17:00;;;;;;;4;1;;;3;0;;;;;;;;;;;;
torstai 1.1.2015 18:00;;;;;;;1;0;;;2;0;;;;;;;;;;;;
torstai 1.1.2015 19:00;;;;;;;3;2;;;1;0;;;;;;;;;;;;
torstai 1.1.2015 20:00;;;;;;;0;2;;;0;0;;;;;;;;;;;;
torstai 1.1.2015 21:00;;;;;;;1;1;;;0;0;;;;;;;;;;;;
torstai 1.1.2015 22:00;;;;;;;0;0;;;0;0;;;;;;;;;;;;
torstai 1.1.2015 23:00;;;;;;;1;0;;;0;0;;;;;;;;;;;;
