Päivämäärä;Kielotie länsi;Kuusijärvi;Kytöpuisto;Pellas;Ylästöntie itä;Talvikkitie-Lummetie;Urpiaisentie;Kielotie_ita;Kyytitie
12.7.2017 0:00;;;;;;;;;
12.7.2017 1:00;0;;;;;;;;
12.7.2017 2:00;0;;;;;;;;
12.7.2017 3:00;0;;;;;;;;
12.7.2017 4:00;0;;;;;;;;
12.7.2017 5:00;0;;;;;;;;
12.7.2017 6:00;0;;;;;;;;
12.7.2017 7:00;0;;;;;;;;
12.7.2017 8:00;0;;;;;;;;
12.7.2017 9:00;0;;;;;;;;
12.7.2017 10:00;0;;;;;;;;
12.7.2017 11:00;0;;;;;;;;
12.7.2017 12:00;0;;;;;;;;
12.7.2017 13:00;0;;;;;;;;
12.7.2017 14:00;21;;;;;;;;
12.7.2017 15:00;6;;;;;;;;
12.7.2017 16:00;9;;;;;;;;
12.7.2017 17:00;18;;;;;;;;
12.7.2017 18:00;8;;;;;;;;
12.7.2017 19:00;16;;;;;;;;
12.7.2017 20:00;12;;;;;;;;
12.7.2017 21:00;4;;;;;;;;
12.7.2017 22:00;7;;;;;;;;
12.7.2017 23:00;1;;;;;;;;
13.7.2017 0:00;3;;;;;;;;
13.7.2017 1:00;0;;;0;0;;;;
13.7.2017 2:00;0;;;0;0;;;;
13.7.2017 3:00;2;;;0;0;;;;
13.7.2017 4:00;0;;;0;0;;;;
13.7.2017 5:00;0;;;0;0;;;;
13.7.2017 6:00;0;;;0;0;;;;
13.7.2017 7:00;2;;;0;0;;;;
13.7.2017 8:00;5;;;0;0;;;;
13.7.2017 9:00;5;;;0;0;;;;
13.7.2017 10:00;8;;;7;0;;;;
13.7.2017 11:00;10;;;14;0;;;;
13.7.2017 12:00;10;;;39;0;;;;
13.7.2017 13:00;8;;;41;0;;;;
13.7.2017 14:00;12;;;34;0;;;;
13.7.2017 15:00;6;;;37;52;;;;
13.7.2017 16:00;2;;;34;31;;;;
13.7.2017 17:00;2;;;21;31;;;;
13.7.2017 18:00;3;;;7;20;;;;
13.7.2017 19:00;0;;;7;17;;;;
13.7.2017 20:00;0;;;16;14;;;;
13.7.2017 21:00;3;;;6;6;;;;
13.7.2017 22:00;0;;;2;8;;;;
13.7.2017 23:00;0;;;3;3;;;;
14.7.2017 0:00;0;;;5;1;;;;
14.7.2017 1:00;4;;0;1;1;;;;
14.7.2017 2:00;1;;0;2;0;;;;
14.7.2017 3:00;2;;0;0;0;;;;
14.7.2017 4:00;2;;0;3;3;;;;
14.7.2017 5:00;1;;0;8;6;;;;
14.7.2017 6:00;0;;0;13;21;;;;
14.7.2017 7:00;4;;0;23;28;;;;
14.7.2017 8:00;4;;0;13;22;;;;
14.7.2017 9:00;3;;0;28;18;;;;
14.7.2017 10:00;22;;0;35;36;;;;
14.7.2017 11:00;7;;2;54;47;;;;
14.7.2017 12:00;13;;63;51;52;;;;
14.7.2017 13:00;6;;55;48;47;;;;
14.7.2017 14:00;16;;59;45;71;;;;
14.7.2017 15:00;19;;79;55;64;;;;
14.7.2017 16:00;10;;63;49;70;;;;
14.7.2017 17:00;25;;52;51;52;;;;
14.7.2017 18:00;18;;46;61;53;;;;
14.7.2017 19:00;12;;33;33;31;;;;
14.7.2017 20:00;7;;29;41;30;;;;
14.7.2017 21:00;3;;24;14;21;;;;
14.7.2017 22:00;6;;11;10;21;;;;
14.7.2017 23:00;1;;6;11;1;;;;
15.7.2017 0:00;2;;4;2;2;;;;
15.7.2017 1:00;1;;4;3;2;;;;
15.7.2017 2:00;5;;0;2;0;;;;
15.7.2017 3:00;0;;1;1;1;;;;
15.7.2017 4:00;0;;2;0;3;;;;
15.7.2017 5:00;0;;2;2;4;;;;
15.7.2017 6:00;0;;7;3;6;;;;
15.7.2017 7:00;0;;7;12;8;;;;
15.7.2017 8:00;2;;10;7;13;;;;
15.7.2017 9:00;11;;24;15;29;;;;
15.7.2017 10:00;12;;47;30;33;;;;
15.7.2017 11:00;9;;59;40;72;;;;
15.7.2017 12:00;25;;54;52;84;;;;
15.7.2017 13:00;20;;53;44;74;;;;
15.7.2017 14:00;14;;44;53;64;;;;
15.7.2017 15:00;13;;54;49;67;;;;
15.7.2017 16:00;18;;56;40;64;;;;
15.7.2017 17:00;20;;43;30;58;;;;
15.7.2017 18:00;15;;51;43;51;;;;
15.7.2017 19:00;18;;33;31;31;;;;
15.7.2017 20:00;6;;38;31;17;;;;
15.7.2017 21:00;12;;22;13;13;;;;
15.7.2017 22:00;0;;10;12;9;;;;
15.7.2017 23:00;2;;11;3;10;;;;
16.7.2017 0:00;3;;7;3;3;;;;
16.7.2017 1:00;1;;2;3;3;;;;
16.7.2017 2:00;1;;0;0;3;;;;
16.7.2017 3:00;0;;0;1;0;;;;
16.7.2017 4:00;0;;2;0;0;;;;
16.7.2017 5:00;1;;0;1;0;;;;
16.7.2017 6:00;0;;5;1;3;;;;
16.7.2017 7:00;0;;5;6;6;;;;
16.7.2017 8:00;3;;9;6;9;;;;
16.7.2017 9:00;5;;20;15;28;;;;
16.7.2017 10:00;15;;45;27;31;;;;
16.7.2017 11:00;22;;67;45;67;;;;
16.7.2017 12:00;20;;72;47;95;;;;
16.7.2017 13:00;19;;69;57;115;;;;
16.7.2017 14:00;33;;92;59;74;;;;
16.7.2017 15:00;17;;92;39;87;;;;
16.7.2017 16:00;29;;53;27;61;;;;
16.7.2017 17:00;17;;67;48;75;;;;
16.7.2017 18:00;12;;66;51;54;;;;
16.7.2017 19:00;13;;34;40;31;;;;
16.7.2017 20:00;12;;35;32;21;;;;
