Year,m,d,Time,Time zone,Snow depth (cm),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2018,1,1,00:00,UTC,0,0.9,152,3.3
2018,1,1,01:00,UTC,0,0.9,147,3.9
2018,1,1,02:00,UTC,0,0.5,154,3.7
2018,1,1,03:00,UTC,0,0.4,155,3.9
2018,1,1,04:00,UTC,2,0.3,159,3.5
2018,1,1,05:00,UTC,0,0.5,155,2.9
2018,1,1,06:00,UTC,3,1.2,175,5
2018,1,1,07:00,UTC,2,1.3,182,4.4
2018,1,1,08:00,UTC,2,1.5,175,4.6
2018,1,1,09:00,UTC,2,1.8,177,3.8
2018,1,1,10:00,UTC,2,1.9,167,4
2018,1,1,11:00,UTC,2,2,164,3.4
2018,1,1,12:00,UTC,0,2,156,3.3
2018,1,1,13:00,UTC,0,2.1,144,2.3
2018,1,1,14:00,UTC,0,2.2,141,2.8
2018,1,1,15:00,UTC,0,2,142,3.3
2018,1,1,16:00,UTC,0,2,147,3.6
2018,1,1,17:00,UTC,0,1.6,146,3.2
2018,1,1,18:00,UTC,0,1.3,143,2.9
2018,1,1,19:00,UTC,0,2.4,153,2.1
2018,1,1,20:00,UTC,0,3.1,219,2.2
2018,1,1,21:00,UTC,0,3.7,232,2.2
2018,1,1,22:00,UTC,0,5.1,228,3.7
2018,1,1,23:00,UTC,0,5.2,219,4.5
2018,1,2,00:00,UTC,0,4.8,214,4
2018,1,2,01:00,UTC,0,4.7,211,4.3
2018,1,2,02:00,UTC,0,4.5,207,4.7
2018,1,2,03:00,UTC,0,4.7,206,4.6
2018,1,2,04:00,UTC,0,4.1,226,4.1
2018,1,2,05:00,UTC,0,4,227,2.8
2018,1,2,06:00,UTC,0,4,249,3.6
2018,1,2,07:00,UTC,0,4.3,266,4
2018,1,2,08:00,UTC,0,4.2,256,5
2018,1,2,09:00,UTC,0,3.3,268,5.8
2018,1,2,10:00,UTC,0,3.5,274,5.8
2018,1,2,11:00,UTC,0,3.6,274,5.1
2018,1,2,12:00,UTC,0,3.8,258,4.1
2018,1,2,13:00,UTC,0,3.9,248,3.2
2018,1,2,14:00,UTC,0,4.5,243,2.8
2018,1,2,15:00,UTC,0,4.6,234,3.3
2018,1,2,16:00,UTC,0,4.6,216,4.3
2018,1,2,17:00,UTC,0,4.6,220,4.2
2018,1,2,18:00,UTC,0,4.6,225,3.8
2018,1,2,19:00,UTC,0,4.6,222,3.9
2018,1,2,20:00,UTC,0,4.6,217,4.1
2018,1,2,21:00,UTC,0,4.6,223,4.3
2018,1,2,22:00,UTC,0,4.6,218,4.4
2018,1,2,23:00,UTC,0,4.5,215,3.5
2018,1,3,00:00,UTC,0,4.4,213,4.5
2018,1,3,01:00,UTC,0,4.3,211,4
2018,1,3,02:00,UTC,0,4.2,206,5.7
2018,1,3,03:00,UTC,0,4.2,212,4.9
2018,1,3,04:00,UTC,0,4,213,4.3
2018,1,3,05:00,UTC,0,4.1,209,3.9
2018,1,3,06:00,UTC,0,4,211,4.6
2018,1,3,07:00,UTC,0,3.8,208,5.1
2018,1,3,08:00,UTC,0,3.8,207,3.9
2018,1,3,09:00,UTC,0,3.5,208,4.3
2018,1,3,10:00,UTC,0,3.5,200,3.7
2018,1,3,11:00,UTC,0,3.4,190,3.9
2018,1,3,12:00,UTC,0,3.3,183,4.1
2018,1,3,13:00,UTC,0,3.4,167,3.5
2018,1,3,14:00,UTC,0,3.1,144,2.4
2018,1,3,15:00,UTC,0,2.7,146,2
2018,1,3,16:00,UTC,0,2.4,140,2.4
2018,1,3,17:00,UTC,0,2.2,127,3.5
2018,1,3,18:00,UTC,0,1.9,116,2.6
2018,1,3,19:00,UTC,0,2,126,3.1
2018,1,3,20:00,UTC,0,2,130,3.6
2018,1,3,21:00,UTC,0,1.9,130,3.1
2018,1,3,22:00,UTC,0,2.4,135,2.3
2018,1,3,23:00,UTC,0,2.7,122,3
2018,1,4,00:00,UTC,0,2.4,104,3.8
