Year,m,d,Time,Time zone,Relative humidity (%),Snow depth (cm),Air temperature (degC),Wind direction (deg),Wind speed (m/s)
2016,1,1,00:00,UTC,81,0,-3.5,164,4.3
2016,1,1,01:00,UTC,78,0,-3.5,144,4.1
2016,1,1,02:00,UTC,78,0,-3.3,173,5
2016,1,1,03:00,UTC,78,0,-3,147,3.9
2016,1,1,04:00,UTC,76,0,-3.5,144,3.4
2016,1,1,05:00,UTC,82,0,-3.9,146,4.5
2016,1,1,06:00,UTC,85,0,-3.9,143,4
2016,1,1,07:00,UTC,84,0,-3.9,140,5
2016,1,1,08:00,UTC,80,0,-4.3,127,4.2
2016,1,1,09:00,UTC,78,0,-4.8,147,4.8
2016,1,1,10:00,UTC,78,0,-4.4,129,5.3
2016,1,1,11:00,UTC,75,0,-4.3,131,5.2
2016,1,1,12:00,UTC,74,0,-4.8,128,4.8
2016,1,1,13:00,UTC,71,0,-4.6,126,5.6
2016,1,1,14:00,UTC,72,0,-4.4,108,4.7
2016,1,1,15:00,UTC,70,0,-4.2,111,5.1
2016,1,1,16:00,UTC,70,0,-4.2,111,5.5
2016,1,1,17:00,UTC,75,0,-4.9,119,5.8
2016,1,1,18:00,UTC,80,0,-5.6,136,6.7
2016,1,1,19:00,UTC,77,0,-6.3,135,5.6
2016,1,1,20:00,UTC,77,0,-6.7,134,5.6
2016,1,1,21:00,UTC,79,0,-6.6,147,4.2
2016,1,1,22:00,UTC,77,0,-6.6,149,3.7
2016,1,1,23:00,UTC,78,0,-6.8,149,3.1
2016,1,2,00:00,UTC,76,0,-6.9,134,3.7
2016,1,2,01:00,UTC,76,0,-6.6,151,3.5
2016,1,2,02:00,UTC,75,0,-6.7,151,3.1
2016,1,2,03:00,UTC,72,0,-6.3,142,3.6
2016,1,2,04:00,UTC,74,0,-6.1,136,3
2016,1,2,05:00,UTC,69,0,-5.7,104,4.3
2016,1,2,06:00,UTC,68,0,-5.5,105,4.4
2016,1,2,07:00,UTC,74,0,-5.7,112,5.5
2016,1,2,08:00,UTC,78,0,-6.2,133,5.9
2016,1,2,09:00,UTC,82,0,-6.6,133,4.6
2016,1,2,10:00,UTC,81,0,-7.3,143,4.5
2016,1,2,11:00,UTC,83,0,-7.5,158,3.7
2016,1,2,12:00,UTC,80,0,-7.6,166,3.4
2016,1,2,13:00,UTC,79,0,-7.6,141,2.9
2016,1,2,14:00,UTC,78,0,-7,118,2.8
2016,1,2,15:00,UTC,75,0,-6.6,94,2.6
2016,1,2,16:00,UTC,77,0,-6.4,101,1.8
2016,1,2,17:00,UTC,81,0,-6.9,26,1.8
2016,1,2,18:00,UTC,84,0,-7.2,34,2.7
2016,1,2,19:00,UTC,83,0,-8,37,2.3
2016,1,2,20:00,UTC,84,0,-8.7,32,2.9
2016,1,2,21:00,UTC,83,0,-9.3,24,1.8
2016,1,2,22:00,UTC,80,0,-9.6,5,3
2016,1,2,23:00,UTC,79,0,-9.6,352,3.3
2016,1,3,00:00,UTC,82,0,-9.9,341,3.3
2016,1,3,01:00,UTC,82,0,-9.4,346,4.3
2016,1,3,02:00,UTC,81,0,-9.4,337,4.8
2016,1,3,03:00,UTC,80,0,-9.4,331,4.8
2016,1,3,04:00,UTC,82,0,-9.2,340,6.1
2016,1,3,05:00,UTC,81,0,-9,331,7.1
2016,1,3,06:00,UTC,79,0,-8.7,341,6.8
2016,1,3,07:00,UTC,78,0,-8.4,335,6.6
2016,1,3,08:00,UTC,88,0,-8.6,350,5.5
2016,1,3,09:00,UTC,89,0,-8.5,352,4.6
2016,1,3,10:00,UTC,89,2,-8.4,358,5.3
2016,1,3,11:00,UTC,86,2,-8.1,359,4.6
2016,1,3,12:00,UTC,84,2,-8.1,11,3.8
2016,1,3,13:00,UTC,83,2,-7.8,13,2.9
2016,1,3,14:00,UTC,85,2,-8,355,2.7
2016,1,3,15:00,UTC,86,2,-7.9,6,2.9
2016,1,3,16:00,UTC,85,2,-7.9,25,2.8
2016,1,3,17:00,UTC,84,2,-8.3,35,2.1
2016,1,3,18:00,UTC,84,2,-8.4,41,2.3
2016,1,3,19:00,UTC,85,2,-9.1,51,4.2
2016,1,3,20:00,UTC,86,2,-9,34,3.1
2016,1,3,21:00,UTC,86,2,-9,44,2.8
2016,1,3,22:00,UTC,90,2,-9.1,32,3.7
2016,1,3,23:00,UTC,91,4,-8.7,17,1.7
2016,1,4,00:00,UTC,93,5,-5.9,145,5.2
2016,1,4,01:00,UTC,83,5,-5.8,128,7.7
2016,1,4,02:00,UTC,67,5,-5.9,138,4.3
2016,1,4,03:00,UTC,70,5,-6.1,116,4.7
2016,1,4,04:00,UTC,84,5,-8.5,76,4.5
2016,1,4,05:00,UTC,84,5,-10.9,47,3.1
2016,1,4,06:00,UTC,83,4,-12.4,43,3.8
2016,1,4,07:00,UTC,85,4,-13.1,52,4.1
2016,1,4,08:00,UTC,85,4,-13.4,36,3.3
2016,1,4,09:00,UTC,81,4,-12.7,38,3.1
2016,1,4,10:00,UTC,80,4,-12.3,32,4.3
2016,1,4,11:00,UTC,79,4,-11.5,39,3
2016,1,4,12:00,UTC,81,4,-11.8,33,3.5
2016,1,4,13:00,UTC,81,4,-12.1,25,3.2
2016,1,4,14:00,UTC,81,4,-12.1,23,3.3
