Kunta,index,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,x,y,Nimi2,Nr
Espoo,Espoon portti (Eco-Counter),17.61572052401747,14.209606986899564,9.262008733624453,10.799126637554584,5.943231441048035,23.222707423580786,57.02183406113537,83.28384279475982,112.81659388646288,70.71615720524018,64.41484716157206,89.96069868995633,94.9650655021834,101.3406113537118,124.01310043668123,139.8471615720524,139.14847161572052,117.03056768558952,117.44541484716157,93.34497816593887,72.92576419213974,65.09606986899563,54.06113537117904,46.43668122270742,6677005.0,25481128.0,Espoon portti (eco-counter),0
Espoo,Espoonlahdenraitti (Eco-Counter),0.9563492063492064,0.47619047619047616,0.5317460317460317,0.3492063492063492,0.6111111111111112,3.373015873015873,8.777777777777779,24.42063492063492,65.91269841269842,53.40873015873016,46.82539682539682,69.14285714285714,51.476190476190474,62.51190476190476,85.35317460317461,59.035714285714285,58.43650793650794,52.726190476190474,49.901185770750985,41.36363636363637,29.383399209486164,12.213438735177865,6.881422924901186,2.039525691699605,6670508.0,25481015.0,Espoonlahdenraitti (Eco-counter),1
Espoo,Gallen-Kallela (Eco-Counter),1.2719298245614035,0.8333333333333334,0.3026315789473684,0.5087719298245614,0.7324561403508771,5.241228070175438,44.74561403508772,104.52631578947368,93.1140350877193,34.28508771929825,19.19298245614035,21.280701754385966,22.714912280701753,23.662280701754387,30.27947598253275,72.7467248908297,110.33187772925764,89.76855895196506,56.59825327510917,37.672489082969435,28.88646288209607,17.27947598253275,7.554585152838428,3.3056768558951966,6676933.0,25491239.0,Gallen-Kallela (Eco-counter),2
Espoo,Gallen-Kallelan tie (DSL10),1.4574468085106382,0.7872340425531915,0.776595744680851,0.2872340425531915,0.8297872340425532,4.0,23.648936170212767,62.5531914893617,56.02127659574468,25.419354838709676,14.90625,18.8,20.38235294117647,23.980582524271846,30.95145631067961,62.320388349514566,89.42718446601941,71.51456310679612,49.89320388349515,38.310679611650485,30.21359223300971,18.310679611650485,8.549019607843137,3.8529411764705883,6676982.0,25491205.0,Gallen-Kallelan tie,3
Espoo,Haukilahti (Viacount),0.8,0.8,0.0,0.0,0.0,0.2,3.4,3.6,4.4,7.4,11.8,12.6,14.0,11.2,9.6,9.6,15.8,17.0,27.0,27.2,32.2,23.8,18.8,11.2,6671287.0,25487507.0,Haukilahti,4
Espoo,Kalevalantien alikulku (DSL10),6.786127167630058,7.530769230769231,4.799614643545279,5.134357005758157,3.892514395393474,3.7326923076923078,11.203846153846154,34.78269230769231,53.128846153846155,26.798076923076923,20.74373795761079,24.363636363636363,25.03875968992248,28.77777777777778,34.12109375,40.716796875,54.025440313111545,48.58317025440313,39.27504911591355,29.949019607843137,19.463654223968565,10.358823529411765,6.625984251968504,8.502958579881657,6674496.0,25488788.0,Kalevalantien alikulku,5
Espoo,"Keha I, Laajalahti (DSL10)",5.954802259887006,6.5913370998116765,2.9322033898305087,2.340866290018832,3.2937853107344632,10.48964218455744,37.772128060263654,90.48867924528302,97.09622641509434,47.347744360902254,25.374531835205993,23.672932330827066,21.71669793621013,24.48587570621469,32.21320754716981,61.16981132075472,95.05849056603773,82.79056603773584,55.54820415879017,37.63327032136106,28.389413988657846,22.8842504743833,13.075757575757576,9.888045540796965,6675867.0,25489239.0,"Kehä I, Laajalahti",6
Espoo,"Keha I, Laajalahti (Eco-counter)",1.6491228070175439,0.9122807017543859,0.6798245614035088,0.3026315789473684,1.8114035087719298,5.2105263157894735,27.109649122807017,85.98684210526316,108.4780701754386,48.666666666666664,21.842105263157894,19.236842105263158,20.25,22.850877192982455,31.035087719298247,60.01315789473684,99.24122807017544,84.14035087719299,52.082969432314414,33.620087336244545,23.75109170305677,14.799126637554584,7.890829694323144,4.209606986899563,6675822.0,25489228.0,"Kehä I, Laajalahti (Eco-counter)",7
Espoo,"Keilaniemi, Keilaterassi (Viacount)",0.0,0.0,0.0,0.0,0.2,0.0,1.6,2.4,4.6,4.0,2.8,6.2,6.2,4.2,3.0,3.8,4.0,6.8,5.4,6.8,6.6,2.4,1.8,0.0,6673117.0,25490525.0,"Keilaniemi, Keilaterassi",8
Espoo,"Keskuspuisto, Grimangen (Viacount 2)",0.8,0.0,0.2,0.0,0.0,0.6,2.2,1.2,4.0,1.6,4.6,6.0,4.6,5.4,9.4,6.2,6.2,13.2,10.4,10.4,9.0,5.8,1.2,1.0,6675139.0,25482600.0,"Keskuspuisto, Grimängen",9
Espoo,"Keskuspuisto, Mossenkar (Viacount 2)",0.8,0.2,0.2,0.2,1.0,1.0,11.8,18.2,13.0,5.8,7.4,6.6,10.8,9.6,15.6,21.6,27.0,24.0,15.4,11.4,11.4,7.2,3.6,1.8,6675346.0,25482598.0,"Keskuspuisto, Mössenkär",10
Espoo,"Keskuspuisto, etelahaara, ita (Viacount 2)",0.0,0.2,0.2,0.2,1.0,0.8,9.0,19.8,12.6,3.6,7.6,7.6,6.4,5.4,12.0,17.8,25.4,17.6,15.6,14.8,14.0,8.2,3.2,1.4,6674356.0,25483281.0,"Keskuspuisto, etelähaara",11
Espoo,"Keskuspuisto, etelahaara, lansi (Viacount 2)",1.0,0.0,0.2,0.0,0.4,1.2,6.8,9.6,6.8,2.8,5.6,7.6,6.0,7.4,11.6,16.2,18.6,12.8,15.6,12.4,13.2,6.8,1.6,0.6,6674246.0,25483392.0,"Keskuspuisto, etelähaara, itä",12
Espoo,Kiltapolku (Viacount 2),0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.5,2.25,1.0,0.5,1.0,0.5,1.0,2.0,1.5,2.75,1.5,1.25,1.5,0.5,0.0,0.75,0.0,6674139.0,25483318.0,"Keskuspuisto, etelähaara, länsi",13
Espoo,"Kiltaraitti, etela (Viacount 2)",0.25,0.0,0.0,0.5,0.5,0.0,0.75,3.25,3.5,2.5,3.5,3.5,4.0,4.5,5.5,6.5,3.75,1.75,2.25,4.5,2.0,0.75,0.75,0.5,6676648.0,25481080.0,Kiltapolku,14
Espoo,"Kiltaraitti, pohjoinen (Viacount 2)",0.4,0.4,0.2,1.0,0.6,1.4,1.6,3.4,9.8,3.6,1.6,3.6,2.6,3.0,3.8,8.6,9.0,4.2,6.2,4.4,3.0,2.0,1.8,0.4,6676640.0,25481048.0,"Kiltaraitti, etelä",15
Espoo,Kirkkojarventie (DSL10),9.922594142259415,9.393305439330543,6.134736842105263,6.603340292275574,7.336116910229645,7.690376569037657,14.089958158995817,27.05857740585774,28.539748953974897,20.7625,18.835416666666667,20.280334728033473,17.788702928870293,19.53125,21.543157894736844,29.237894736842104,31.997894736842106,28.806315789473683,23.04421052631579,17.96,14.83157894736842,13.875789473684211,9.307203389830509,9.396186440677965,6676731.0,25481014.0,"Kiltaraitti, pohjoinen",16
Espoo,Kivenlahden uimaranta (Viacount),0.0,0.2,0.2,0.0,0.0,0.0,3.6,2.6,4.4,5.4,7.0,5.8,4.0,6.2,6.0,7.2,8.2,9.8,12.4,18.0,8.4,7.0,3.2,0.4,6677166.0,25481274.0,Kirkkojärventie,17
Espoo,Kivenlahti (Viacount),0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,1.4,1.6,2.8,2.2,1.6,3.2,2.0,1.8,3.0,3.8,4.2,7.0,4.4,3.2,1.0,0.2,6670997.0,25479610.0,Kivenlahden uimaranta,18
Espoo,Lansivayla (Eco-counter),3.026315789473684,1.3728070175438596,0.7192982456140351,0.6929824561403509,1.3991228070175439,5.62719298245614,35.38157894736842,111.07456140350877,152.87280701754386,65.0174672489083,31.209606986899562,29.58515283842795,31.406113537117903,31.685589519650655,40.76419213973799,74.97816593886463,137.80786026200875,134.35807860262008,85.64192139737992,54.161572052401745,38.94759825327511,23.554585152838428,11.283842794759826,5.4847161572052405,6671256.0,25479244.0,Kivenlahti,19
Espoo,"Lansivayla, Karhusaari (DSL10)",34.0859375,34.437869822485204,22.822134387351777,21.13840155945419,17.85546875,20.24903474903475,56.12307692307692,136.46153846153845,157.131021194605,72.3423076923077,34.89807692307692,33.047984644913626,33.50769230769231,36.85356454720617,47.7007722007722,88.32818532818533,156.77992277992277,149.93629343629343,102.14478764478764,71.74903474903475,57.527027027027025,43.847195357833655,29.489278752436647,33.36842105263158,6676933.0,25491239.0,Länsiväylä (Eco-counter),20
Espoo,Martinsillantie (DSL10),13.581896551724139,15.206451612903226,10.03470715835141,9.935064935064934,8.684665226781858,8.561555075593953,23.113733905579398,44.58583690987125,31.51716738197425,15.171306209850107,15.0491452991453,20.482905982905983,20.624733475479744,23.412903225806453,26.068817204301077,35.946236559139784,47.4051724137931,44.564655172413794,36.85344827586207,27.33189655172414,22.676724137931036,16.762931034482758,13.401301518438178,14.161220043572985,6672835.0,25490802.0,"Länsiväylä, Karhusaari",21
